artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B4	
artigoEmPeriodico	2012	http://dx.doi.org/10.1590/s1984-82502012000300013	In vivo and in vitro genotoxicity studies of aqueous extract of Xanthium spinosum	Brazilian Journal of Pharmaceutical Sciences (Impresso)	GÜEZ, CAMILA MARTINS ; WACZUK, EMILY PANSERA ; PEREIRA, KARINA BRACCINI ; QUEROL, MARCUS VINÍCIUS MORINI ; ROCHA, JOÃO BATISTA TEIXEIRA DA ; OLIVEIRA, LUÍS FLÁVIO SOUZA DE	B5	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.cbi.2012.05.010	Modulation of diorganoyl dichalcogenides reactivity by non-bonded nitrogen interactions	Chemico-Biological Interactions (Print)	HASSAN, Waseem ; HASSAN, Waseem ; Narayanaperumal, Senthil ; Gul, Kashif ; Rahman, Ata Ur ; BRAGA, ANTONIO L. ; Rodrigues, Oscar D. ; Rocha, João Batista Teixeira ; RODRIGUES, O. E. D. ; BRAGA, ANTONIO L. ; Gul, Kashif ; Rahman, Ata Ur ; Narayanaperumal, Senthil ; Rodrigues, Oscar E.D. ; Rocha, João Batista Teixeira	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s00204-011-0746-6	Diphenyl ditelluride induces hypophosphorylation of intermediate filaments through modulation of DARPP-32-dependent pathways in cerebral cortex of young rats	Archives of Toxicology	Heimfarth, Luana ; Loureiro, Samanta Oliveira ; Reis, Karina Pires ; Lima, BÃ rbara Ortiz ; Zamboni, Fernanda ; Lacerda, Sabrina ; Soska, Ã ngela Kronbauer ; Wild, Luisa ; ROCHA, J. B. T. ; Pessoa-Pureur, Regina	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.3109/01480545.2011.588711	Fe(II) and sodium nitroprusside induce oxidative stress: a comparative study of diphenyl diselenide and diphenyl ditelluride with their napthyl analog	Drug and Chemical Toxicology (New York, N.Y. 1978)	Ibrahim, Mohammad ; HASSAN, Waseem ; Anwar, Javed ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	B3	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s12011-012-9327-7	Ethanol-Induced Oxidative Stress: The Role of Binaphthyl Diselenide as a Potent Antioxidant	Biological Trace Element Research (online)	Ibrahim, Mohammad ; HASSAN, Waseem ; Meinerz, Daiane Francine ; Oliveira Leite, Gerlânia ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	C	Biological Trace Element Research
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s10565-012-9217-y	Antioxidant activity and low toxicity of (E)-1-(1-(methylthio)-1-(selenopheny) hept-1-en-2-yl) pyrrolidin-2-one	Cell Biology and Toxicology	Ineu, Rafael Porto ; Santos, Matheus ; Rêgo Barros, Olga Soares ; Nogueira, Cristina Wayne ; Rocha, João Batista Teixeira ; ZENI, Gilson ; Pereira, Maria Ester	C	
artigoEmPeriodico	2012		Polymerization of gallic acid enhances its antioxidant capacity:Implications for plant defence mechanisms	Biokemistri	Kade, Ige Joseph ; JOHNSON, D.O. ; AKPAMBANG, V.O.E. ; TEIXEIRA ROCHA, J.B.	Qualis nao identificado	Biokemistri
artigoEmPeriodico	2012		Pharmacology of organoselenium compounds: Emphasis on puzzling mechanistic switching from their glutathione peroxidase mimic in vivo	Biokemistri	Kade, Ige Joseph ; TEIXEIRA ROCHA, J.B.	Qualis nao identificado	Biokemistri
artigoEmPeriodico	2012	http://dx.doi.org/10.2478/v10007-012-0026-x	In vitro antioxidant activity of stem bark of Trichilia catigua Adr	Juss. ACTA PHARMACEUT	KAMDEM, JEAN PAUL ; Stefanello, Sílvio Terra ; Boligon, Aline Augusti ; Wagner, Caroline ; Kade, Ige Joseph ; Pereira, Romaiana Picada ; PRESTE, ALESSANDRO DE SOUZA ; Roos, Daniel Henrique ; WACZUK, EMILY PANSERA ; APPEL, ANDRE STORTI ; Athayde, Margareth Linde ; Souza, Diogo Onofre ; Rocha, João Batista Teixeira	Qualis nao identificado	Juss. ACTA PHARMACEUT
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s11064-012-0876-0	Catuaba (Trichilia catigua) Prevents Against Oxidative Damage Induced by In Vitro Ischemia Reperfusion in Rat Hippocampal Slices	Neurochemical Research	KAMDEM, JEAN PAUL ; WACZUK, EMILY PANSERA ; Kade, Ige Joseph ; Wagner, Caroline ; Boligon, Aline Augusti ; Athayde, Margareth Linde ; Souza, Diogo Onofre ; Rocha, João Batista Teixeira	C	
artigoEmPeriodico	2012		Effect of Different Oximes on Rat and Human Cholinesterases Inhibited by Methamidophos: A Comparative In Vitro and In Silico Study	Basic Clinical Pharmacology Toxicology (Print)	LUGOKENSKI, T. H. ; GUBERT, P. ; BUENO, D. ; SARAIVA, R. A. ; NOGARA, P. ; Barcelos, RP ; Carratu, V ; BRESOLIN, L. ; Barbosa, NBV. ; Barbosa, NBV. ; PEREIRA, M. E. ; ROCHA, J. B. T. ; SOARES, F. A.	C	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2012	http://dx.doi.org/10.1080/15287394.2012.697840	Glia and Methylmercury Neurotoxicity	Journal of Toxicology and Environmental Health. Part A	Ni, Mingwei ; FARINA, M. ; Li, Xin ; ROCHA, J. B. T. ; FARINA, M. ; ASCHMER, M	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1002/tox.21788	Effects of Hg(II) Exposure on MAPK Phosphorylation and Antioxidant System in D	melanogaster. Environmental Toxicology (Print)	Paula, Mariane T. ; Zemolin, A.P. ; VARGAS AP ; GOLOMBIESKI, R. M. ; Loreto, E. L.S. ; Saidelles, A.P. ; Picoloto, R.S. ; FLORES,E.M. M. ; Pereira, A.B. ; , Rocha JBT ; Merritt, T.J.S. ; Franco, J.L. ; POSSER, T	C	Environmental Toxicology (Print)
artigoEmPeriodico	2012		Educação sexual em uma escola pública de Juazeiro do Norte/CE: percepção dos adolescentes.	Acta Scientiae (ULBRA)	QUIRINO, G. S. ; ROCHA, JOÃO BATISTA TEIXEIRA DA	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1590/s0104-40602012000100014	Sexualidade e educação sexual na percepção docente	Educar em Revista (Impresso)	QUIRINO, GLAUBERTO DA SILVA ; ROCHA, JOÃO BATISTA TEIXEIRA DA	B5	
artigoEmPeriodico	2012	http://dx.doi.org/10.1039/c2tx20014g	Aminolevulinate dehydratase (δ-ALA-D) as marker protein of intoxication with metals and other pro-oxidant situations	Toxicology Research	ROCHA, JOAO B. T. ; SARAIVA, ROGERIO A. ; GARCIA, SOLANGE C. ; GRAVINA, FERNANDA S. ; NOGUEIRA, Cristina W.	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1155/2012/831890	Mercury Toxicity	Journal of Biomedicine and Biotechnology (Print)	ROCHA, JOÃO B. T. ; Aschner, Michael ; DÓREA, JOSÉ G. ; CECCATELLI, SANDRA ; Farina, Marcelo ; SILVEIRA, LUIZ CARLOS L.	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.foodchem.2011.09.026	Antioxidant and hepatoprotective activity of ethanolic extract of leaves of Solidago microglossa containing polyphenolic compounds	Food Chemistry	Sabir, S.M. ; Ahmad, S.D. ; Hamid, A. ; Khan, M.Q. ; Athayde, M.L. ; SANTOS, D.B. ; Boligon, A.A. ; Rocha, J.B.T.	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.etap.2012.06.002	Antioxidant properties of -seleno amines against lipid peroxidation in rat brain and liver	Environmental Toxicology and Pharmacology	Sabir, S.M. ; Salman, Syed M. ; Rocha, J.B.T.	C	
artigoEmPeriodico	2012		Molecular docking studies of disubstituted diaryl diselenides as mammalian delta-aminolevulinic acid dehydratase enzyme inhibitors.	Journal of Toxicology and Environmental Health. Part A	Saraiva, Rogério A. ; BUENO, D. C. ; NOGARA, P. A. ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s12640-011-9288-1	Acute Brain Damage Induced by Acetaminophen in Mice: Effect of Diphenyl Diselenide on Oxidative Stress and Mitochondrial Dysfunction	Neurotoxicity Research	Silva, Michele Hinerasky ; Rosa, Edovando JosÃ Flores ; Carvalho, NÃ lson Rodrigues ; Dobrachinski, Fernando ; ROCHA, J. B. T. ; Mauriz, Jose L. ; GonzÃ lez-Gallego, Javier ; Soares, FÃ lix Alexandre Antunes	B1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s11010-012-1246-6	Antioxidant activity of -selenoamines and their capacity to mimic different enzymes	Molecular and Cellular Biochemistry	Souza Prestes, Alessandro ; Stefanello, Sílvio Terra ; Salman, Syed M. ; Pazini, Andréia Martini ; Schwab, Ricardo S. ; Braga, Antônio Luiz ; Vargas Barbosa, Nilda Berenice ; Rocha, J.B.T.	B3	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.bbr.2011.10.005	Could dietary trans fatty acids induce movement disorders? Effects of exercise and its influence on Na+K+-ATPase and catalase activity in rat striatum	Behavioural Brain Research	Teixeira, A.M. ; Dias, V.T. ; Pase, C.S. ; Roversi, K. ; Boufleur, N. ; Barcelos, R.C.S. ; Benvegnú, D.M. ; Trevizol, F. ; Dolci, G.S. ; Carvalho, N.R. ; Quatrin, A. ; Soares, F.A.A. ; RECKZIEGEL, P. ; Segat, H.J. ; Rocha, J.B.T. ; EMANUELLI, T. ; Bürger, M.E.	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1080/02757540.2012.656610	Potential application of 2-(6-ethylamino-3-ethylimino-2,7-dimethyl-3H-xanthen-9-yl) benzoic acid phenyl thiourea for mercury determination	Chemistry in Ecology (Print)	Vargas, Alessandra P. ; Alves, Diego ; Wagner, Caroline ; Posser, Thais ; Puntel, Robson Luiz ; Rocha, João Batista T. ; Rocha, João Batista Teixeira	B5	
artigoEmPeriodico	2012	http://dx.doi.org/10.1007/s11010-012-1408-6	Diphenyl ditelluride targets brain selenoproteins in vivo: inhibition of cerebral thioredoxin reductase and glutathione peroxidase in mice after acute exposure	Molecular and Cellular Biochemistry	WAGNER, C ; COMPARSI, B. ; MEINERZ, D. F. ; FRANCO, J. L. ; POSSER, T. ; PRESTES, A. S. ; STEFANELLO, S. T. ; SANTOS, D. B. ; WAGNER, C. ; FARINA, M. ; ASCHNER, M. ; DAFRE, A. L. ; ROCHA, J. B. T.	B3	
artigoEmPeriodico	2012		A INTERDISCIPLINARIDADE ENTRE AS CIÊNCIAS E A EDUCAÇÃO FÍSICA NA VISÃO DE ALUNOS DO ENSINO FUNDAMENTAL E MÉDIO DA REDE PRIVADA	Revista Ciências Idéias	WEBER, J. V. ; SOARES, F. A. A. ; ROCHA, J. B. T. ; SOARES, F. A. A.	C	Revista Ciências & Idéias
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.neuro.2011.12.004	Protective effect of a novel peptide against methylmercury-induced toxicity in rat primary astrocytes	Neurotoxicology (Park Forest South)	Wormser, Uri ; Brodsky, Berta ; Milatovic, Dejan ; Finkelstein, Yoram ; FARINA, M. ; Farina, Marcelo ; ROCHA, J. B. T. ; Aschner, Michael	C	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.tox.2012.07.013	Evidences for a role of glutathione peroxidase 4 (GPx4) in methylmercury induced neurotoxicity in vivo	Toxicology (Amsterdam)	ZEMOLIN, A.P.P. ; MEINERZ, D. F. ; MEINERZ, D.F. ; DE PAULA, M.T. ; MARIANO, D.O.C. ; ROCHA, J. B. T. ; PEREIRA, A.B. ; POSSER, T. ; FRANCO, J.L.	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.ijdevneu.2011.06.010	Effect of repeated restraint stress and clomipramine on Na+, K+-ATPase activity and behavior in rats.	International Journal of Developmental Neuroscience	BALK, R. ; SILVA, M. H. ; Bridi, JC ; de Carvalho, NR ; Portella, RL ; Dobrachinski, F ; Amaral, GP ; Barcelos, RP ; Dias G ; ROCHA, J. B. T. ; Barbosa, NBV. ; Barbosa, NBV. ; Soares, FA	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s11745-010-3514-0	Short Term Dietary Fish Oil Supplementation Improves Motor Deficiencies Related to Reserpine-Induced Parkinsonism in Rats	Lipids	Barcelos, Raquel Cristine Silva ; Benvegnú, Dalila Moter ; Boufleur, Nardeli ; Pase, Camila ; Teixeira, Angélica Martelli ; Reckziegel, Patrícia ; Emanuelli, Tatiana ; Rocha, J.B.T. ; Bürger, Marilise Escobar	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.etp.2010.03.003	Inhibition of -aminolevulinate dehydratase is not closely related to the development of hyperglycemia in alloxan-induced diabetic mice	Experimental and Toxicologic Pathology (Print)	Brito, Verônica B. ; ROCHA, J. B. T. ; Puntel, Gustavo O. ; da Luz, Sônia Cristina A. ; Barbosa, Nilda B.V. ; de Carvalho, Nelson R. ; Folmer, Vanderlei	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.etp.2011.08.002	Hepatoprotective effects of pecan nut shells on ethanol-induced liver damage	Experimental and Toxicologic Pathology (Print)	BURGER, M. E. ; Müller, Liz Girardi ; Pase, C.S. ; Reckziegel, Patrícia ; Barcelos, R.C.S. ; Boufleur, Nardeli ; Prado, Ana Cristina P. ; Fett, Roseane ; Block, Jane Mara ; Pavanato, Maria Amália ; Bauermann, Liliane F. ; ROCHA, J. B. T. ; Bürger, M.E.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neulet.2011.07.050	Diphenyl diselenide and analogs are substrates of cerebral rat thioredoxin reductase: A pathway for their neuroprotective effects	Neuroscience Letters (Print)	de Freitas, Andressa Sausen ; ROCHA, J. B. T.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.taap.2011.05.001	Oxidative stress in MeHg-induced neurotoxicity	Toxicology and Applied Pharmacology	Farina, Marcelo ; Aschner, Michael ; Rocha, João B.T.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.lfs.2011.05.019	Mechanisms of methylmercury-induced neurotoxicity: Evidence from experimental studies	Life Sciences (1973)	Farina, Marcelo ; Rocha, João B.T. ; Aschner, Michael	C	
artigoEmPeriodico	2011		INVESTIGANDO AS CONCEPÇÕES DOS ESTUDANTES DO ENSINO	Revista Ciências Idéias	FIGUEIRA, A.C.M. ; DA ROCHA, J.B.T., DAROCHA, J.B.T.	C	Revista Ciências & Idéias
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.lfs.2010.10.031	Low concentrations of methamidophos do not alter AChE activity but modulate neurotransmitters uptake in hippocampus and striatum in vitro	Life Sciences (1973)	Gubert, Priscila ; Ávila, Daiana Silva ; Bridi, Jessika Cristina ; Saurin, Sara ; Lugokenski, Thiago Henrique ; Villarinho, Jardel Gomes ; Fachinetto, Roselei ; Pereira, Maria Ester ; Ferreira, Juliano ; , Rocha JBT	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.cbi.2011.01.012	Hydroxyl containing seleno-imine compound exhibits improved anti-oxidant potential and does not inhibit thiol-containing enzymes	Chemico-Biological Interactions (Print)	HASSAN, Waseem ; Pinton, Simone ; Rocha, Juliana Trevisan da ; Deobald, Anna Maria ; Braga, Antonio Luis ; Nogueira, Cristina Wayne ; Latini, Alexandra Susana ; ROCHA, J. B. T.	B2	Chemico Biological Interactions (Print)
artigoEmPeriodico	2011	http://dx.doi.org/10.1021/tx200307u	Cross-Talk among Intracellular Signaling Pathways Mediates the Diphenyl Ditelluride Actions on the Hippocampal Cytoskeleton of Young Rats	Chemical Research in Toxicology	Heimfarth, Luana ; Loureiro, Samanta Oliveira ; Reis, Karina Pires ; de Lima, Bárbara Ortiz ; Zamboni, Fernanda ; Gandolfi, Talita ; Narvaes, Rodrigo ; Rocha, J.B.T. ; Pessoa-Pureur, Regina	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1097/FJC.0b013e31821d1149	Diphenyl Diselenide Effectively Reduces Atherosclerotic Lesions in LDLr / Mice by Attenuation of Oxidative Stress and Inflammation	Journal of Cardiovascular Pharmacology	Hort, Mariana Appel ; Straliotto, Marcos Raniel ; Netto, Paula Moro ; ROCHA, J. B. T. ; de Bem, Andreza Fabro ; Ribeiro-do-Valle, Rosa Maria	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.etp.2010.02.007	Involvement of catalase in the protective effect of binaphthyl diselenide against renal damage induced by glycerol	Experimental and Toxicologic Pathology (Print)	Ibrahim, Mohammad ; Luchese, Cristiane ; Pinton, Simone ; Roman, Silvane S. ; HASSAN, Waseem ; NOGUEIRA, Cristina W. ; Rocha, João B.T.	C	
artigoEmPeriodico	2011		CIÊNCIAS BIOLÓGICAS II DOUTORADO PLENO NO EXTERIOR E NO PAÍS: ESTUDO INVESTIGATIVO A RESPEITO	Diálogos Ciência (Online)	Jesus, Sandra Lopes ; DA ROCHA, J.B.T., DAROCHA, J.B.T.	C	Diálogos & Ciência (Online)
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuro.2010.11.008	-Glutamylcysteine ameliorates oxidative injury in neurons and astrocytes in vitro and increases brain glutathione in vivo	Neurotoxicology (Park Forest South)	Le, Truc M. ; Jiang, Haiyan ; Cunningham, Gary R. ; Magarik, Jordan A. ; Barge, William S. ; Cato, Marilyn C. ; Farina, Marcelo ; ROCHA, J. B. T. ; Milatovic, Dejan ; Lee, Eunsook ; Aschner, Michael ; Summar, Marshall L.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.3109/01480541003782294	Inhibitory effect of ebselen on lactate dehydrogenase activity from mammals: a comparative study with diphenyl diselenide and diphenyl ditelluride	Drug and Chemical Toxicology (New York, N.Y. 1978)	Lugokenski, Thiago H. ; Müller, Liz G. ; Taube, Paulo S. ; Rocha, João B.T. ; Pereira, Maria E.	B3	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.brainresbull.2011.10.003	Protective effect of Melissa officinalis aqueous extract against Mn-induced oxidative stress in chronically exposed mice	Brain Research Bulletin	Martins, Eduarda N. ; Pessano, Naira T.C. ; Leal, Luiza ; Roos, Daniel H. ; FOLMER, Vanderlei ; Puntel, Gustavo O. ; Aschner, Michael ; ÁVILA, Daiana Silva de ; Ávila, Daiana Silva ; Puntel, Robson Luiz	B5	
artigoEmPeriodico	2011	http://dx.doi.org/10.1590/S0100-879X2011007500136	Protective effects of organoselenium compounds against methylmercury-induced oxidative stress in mouse brain mitochondrial-enriched fractions	Brazilian Journal of Medical and Biological Research on line	Meinerz, D.F. ; de Paula, M.T. ; Comparsi, B. ; Silva, M.U. ; Schmitz, A.E. ; Braga, H.C. ; Taube, P.S. ; Braga, A.L. ; Rocha, J.B.T. ; Dafre, A.L. ; FARINA, M. ; Franco, J.L. ; POSSER, T.	C	Brazilian Journal of Medical and Biological Research
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s00204-010-0555-3	Evaluation of the biological effects of (S)-dimethyl 2-(3-(phenyltellanyl) propanamido) succinate, a new telluroamino acid derivative of aspartic acid	Archives of Toxicology	Meinerz, Daiane Francine ; Sudati, Jéssie H. ; dos Santos, Danúbia B. ; Frediani, Andressa ; Alberto, Eduardo E. ; Allebrandt, Josiane ; Franco, Jeferson L. ; Barbosa, Nilda B. V. ; Aschner, Michael ; da Rocha, João Batista T. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2011		Educação sexual na escola: implicações para a práxis dos adultos de referência a partir das dúvidas e curiosidades dos adolescentes	REEC. Revista Electrónica de Enseñanza de las Ciencias	MOREIRA, B.L.R. ; ROCHA, J. B. T. ; PUNTEL, Robson Luís ; FOLMER, V. ; FOLMER, V.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1002/glia.21153	Comparative study on the response of rat primary astrocytes and microglia to methylmercury toxicity	GLIA (New York, N.Y. : Print)	Ni, Mingwei ; Li, Xin ; Yin, Zhaobao ; Sidoryk-W?Grzynowicz, Marta ; Jiang, Haiyan ; Farina, Marcelo ; ROCHA, J. B. T. ; SYVERSEN, Tore ; Aschner, Michael	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s00204-011-0720-3	Toxicology and pharmacology of selenium: emphasis on synthetic organoselenium compounds	Archives of Toxicology	NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.etp.2010.01.002	Attachment of rhamnosyl glucoside on quercetin confers potent iron-chelating ability on its antioxidant properties	Experimental and Toxicologic Pathology (Print)	Omololu, P.A. ; Rocha, J.B.T. ; Kade, I.J.	C	
artigoEmPeriodico	2011		ANTIOXIDATIVE PROPERTIES OF ETHYL ACETATE FRACTION OF UNRIPE PULP OF CARICA PAPAYA IN MICE	The Journal of Microbiology, Biotechnology and Food Sciences	Omotade Oloyede ; FRANCO, J. ; ROOS, Daniel Henrique ; ROOS, Daniel Henrique ; ROCHA, J. B. T. ; ATHAYDE, M. ; BOLIGON, A.	B5	Asian Journal of Microbiology, Biotechnology and Environmental Science
artigoEmPeriodico	2011		Studies on the antioxidant potential of extracts from unripe fruit of Carica papaya	Journal of Life Sciences	Omotade Oloyede ; ROOS, Daniel Henrique ; ROCHA, J. B. T.	B5	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuint.2011.03.002	Inorganic mercury interacts with thiols at the nucleotide and cationic binding sites of the ouabain-sensitive cerebral electrogenic sodium pump	Neurochemistry International	Omotayo, T.I. ; Rocha, J.B.T. ; Ibukun, E.O. ; Kade, I.J.	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s00702-011-0640-7	Valeriana officinalis ameliorates vacuous chewing movements induced by reserpine in rats	Journal of Neural Transmission	Pereira, Romaiana Picada ; Fachinetto, Roselei ; Souza Prestes, Alessandro ; Wagner, Caroline ; Sudati, Jéssie Haigert ; Boligon, Aline Augusti ; Athayde, Margareth Linde ; MORSCH, Vera Maria ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1007/s00204-010-0602-0	Diphenyl diselenide induces apoptotic cell death and modulates ERK1/2 phosphorylation in human neuroblastoma SH-SY5Y cells	Archives of Toxicology	Posser, Thaís ; Paula, Mariane Trindade ; Franco, Jeferson Luis ; Leal, Rodrigo B. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.prp.2011.06.005	Effects of diphenyl diselenide on oxidative stress induced by sepsis in rats	Pathology, Research and Practice (Print)	Prauchner, Carlos A. ; Prestes, Alessandro de S. ; ROCHA, J. B. T.	B3	
artigoEmPeriodico	2011	http://dx.doi.org/10.3109/10715762.2010.517252	Therapeutic cold: An effective kind to modulate the oxidative damage resulting of a skeletal muscle contusion	Free Radical Research	Puntel, Gustavo O. ; Carvalho, NÃ lson R. ; Amaral, Guilherme P. ; Lobato, Lauren D. ; Silveira, SÃ rgio O. ; Daubermann, Melissa F. ; Barbosa, Nilda V. ; ROCHA, J. B. T. ; Soares, FÃ lix A. A.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1177/0960327110372399	Dexmedetomidine protects blood -aminolevulinate dehydratase from inactivation caused by hyperoxygenation in total intravenous anesthesia	Human Experimental Toxicology	ROCHA, J. B. T. ; Heinzmann Bulow, N. M. ; Correa, E. F. ; SCHOLZE, C. ; NOGUEIRA, C. W. ; BARBOSA, N. B.	C	Human & Experimental Toxicology
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.taap.2011.01.010	Modulation of methylmercury uptake by methionine: Prevention of mitochondrial dysfunction in rat liver slices by a mimicry mechanism	Toxicology and Applied Pharmacology	Roos, Daniel Henrique ; Puntel, Robson Luiz ; Farina, Marcelo ; Aschner, Michael ; Bohrer, Denise ; ROCHA, J. B. T. ; De Vargas Barbosa, Nilda B.	C	
artigoEmPeriodico	2011		O USO DE UMA FERRAMENTA PEDAGÓGICA SOBRE FUMO PASSIVO ENTRE ALUNOS DE ENSINO FUNDAMENTAL	Experiências em Ensino de Ciências (UFRGS)	SALLA, L. F.S ; DA ROCHA, J.B.T., DAROCHA, J.B.T. ; SALLA, R.F.	C	
artigoEmPeriodico	2011		Synergistic action between Caryocar coriaceum Wittm	fixed oil with aminoglycosides in vitro.. European Journal of Lipid Science and Technology (Print)	Saraiva, R. A. ; Costa, J.G.M. ; Costa, José G.M. ; COUTINHO, H. D. M. ; MATIAS, E. F.F. ; ROCHA, J. B. T. ; MENEZES, I. R. A.	C	Science and Technology
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.jep.2010.07.002	Topical anti-inflammatory effect of Caryocar coriaceum Wittm	(Caryocaraceae) fruit pulp fixed oil on mice ear edema induced by different irritant agents. Journal of Ethnopharmacology	Saraiva, Rogério A. ; Araruna, Mariana K.A. ; Oliveira, Romagna C. ; Menezes, Kleber D.P. ; Leite, Gerlânia O. ; Kerntopf, Marta R. ; Costa, José G.M. ; Rocha, João B.T. ; Tomé, Adriana R. ; Campos, Adriana R. ; Menezes, Irwin R.A.	C	Journal of Ethnopharmacology
artigoEmPeriodico	2011		CONSTRUINDO UM MICROSCÓPIO II	BEM SIMPLES E MAIS BARATO.. Genética na Escola	SEPEL, L. M. N. ; DA ROCHA, J.B.T., DAROCHA, J.B.T. ; LORETO, E. L. da S.	Qualis nao identificado	BEM SIMPLES E MAIS BARATO.. Genética na Escola
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuropharm.2010.10.017	Beneficial effects of an innovative exercise model on motor and oxidative disorders induced by haloperidol in rats	Neuropharmacology	Teixeira, A. ; Müller, L.G. ; RECKZIEGEL, P. ; Boufleur, N. ; Pase, C.S. ; Villarinho, J.G. ; FACHINETTO, R. ; Ferreira, J. ; Rocha, J.B.T. ; Bürger, M.E.	A2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuroscience.2011.08.055	Exercise affects memory acquisition, anxiety-like symptoms and activity of membrane-bound enzyme in brain of rats fed with different dietary fats: impairments of trans fat	Neuroscience	Teixeira, A.M. ; Pase, C.S. ; Boufleur, N. ; Roversi, K. ; Barcelos, R.C.S. ; Benvegnú, D.M. ; Segat, H.J. ; Dias, V.T. ; RECKZIEGEL, P. ; Trevizol, F. ; Dolci, G.S. ; Carvalho, N.R. ; Soares, F.A.A. ; Rocha, J.B.T. ; EMANUELLI, T. ; Bürger, M.E.	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.pbb.2010.11.004	Comparative study between n-6, trans and n-3 fatty acids on repeated amphetamine exposure: A possible factor for the development of mania	Pharmacology, Biochemistry and Behavior	Trevizol, Fabíola ; Benvegnú, Dalila M. ; Barcelos, Raquel C.S. ; Boufleur, Nardeli ; Dolci, Geisa S. ; Müller, Liz G. ; Pase, Camila S. ; Reckziegel, Patrícia ; Dias, Verônica T. ; Segat, Hecson ; Rocha, J.B.T.	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuro.2011.01.004	Methylmercury-induced alterations in astrocyte functions are attenuated by ebselen	Neurotoxicology (Park Forest South)	Yin, Zhaobao ; Lee, Eunsook ; Ni, Mingwei ; Jiang, Haiyan ; Milatovic, Dejan ; Rongzhu, Lu ; Farina, Marcelo ; Rocha, J.B.T. ; Aschner, Michael	C	
